movie_title,genres,production_budget,worldwide_gross,Revenue,domestic_gross,start_year,release_date,runtime_minutes,averagerating,numvotes
Monsters University,"Adventure,Animation,Comedy",200000000.0,743588329.0,543588329.0,268488329.0,2013,21-06-2013,104.0,7.3,291887
Oz the Great and Powerful,"Adventure,Family,Fantasy",200000000.0,490359051.0,290359051.0,234770996.0,2013,08-03-2013,130.0,6.3,192045
X-Men: Days of Future Past,"Action,Adventure,Sci-Fi",200000000.0,747862775.0,547862775.0,233921534.0,2014,23-05-2014,132.0,8.0,620079
The Amazing Spider-Man 2,"Action,Adventure,Sci-Fi",200000000.0,708996336.0,508996336.0,202853933.0,2014,02-05-2014,142.0,6.6,388363
Cars 2,"Adventure,Animation,Comedy",200000000.0,560155383.0,360155383.0,191450875.0,2011,24-06-2011,106.0,6.2,138914
Fantastic Beasts: The Crimes of Grindelwald,"Adventure,Family,Fantasy",200000000.0,652220086.0,452220086.0,159555901.0,2018,16-11-2018,134.0,6.6,163151
Green Lantern,"Action,Adventure,Sci-Fi",200000000.0,219535492.0,19535492.0,116601172.0,2011,17-06-2011,114.0,5.5,252281
Transformers: Dark of the Moon,"Action,Adventure,Sci-Fi",195000000.0,1123790543.0,928790543.0,352390543.0,2011,29-06-2011,154.0,6.2,366409
The Mummy,"Action,Adventure,Fantasy",195000000.0,409953905.0,214953905.0,80101125.0,2017,09-06-2017,110.0,5.5,154345
The Mummy,"Action,Adventure,Fantasy",80000000.0,416385488.0,336385488.0,155385488.0,2017,07-05-1999,110.0,5.5,154345
Jack the Giant Slayer,"Adventure,Fantasy",195000000.0,197687603.0,2687603.0,65187603.0,2013,01-03-2013,114.0,6.3,123127
Furious 7,"Action,Crime,Thriller",190000000.0,1518722794.0,1328722794.0,353007020.0,2015,03-04-2015,137.0,7.2,335074
Star Trek Into Darkness,"Action,Adventure,Sci-Fi",190000000.0,467381584.0,277381584.0,228778661.0,2013,16-05-2013,132.0,7.7,445535
World War Z,"Action,Adventure,Horror",190000000.0,531514650.0,341514650.0,202359711.0,2013,21-06-2013,116.0,7.0,553751
The Great Gatsby,"Drama,Romance",190000000.0,351040419.0,161040419.0,144840419.0,2013,10-05-2013,143.0,7.3,433165
The Great Gatsby,"Drama,Romance",7000000.0,26533200.0,19533200.0,26533200.0,2013,29-03-1974,143.0,7.3,433165
Pacific Rim,"Action,Adventure,Sci-Fi",190000000.0,411002906.0,221002906.0,101802906.0,2013,12-07-2013,131.0,6.9,443667
The Good Dinosaur,"Adventure,Animation,Comedy",187500000.0,333771037.0,146271037.0,123087120.0,2015,25-11-2015,93.0,6.7,91465
Iron Man,"Comedy,Drama,Family",186000000.0,585171547.0,399171547.0,318604126.0,2013,02-05-2008,84.0,5.6,14
Brave,"Adventure,Animation,Comedy",185000000.0,554606532.0,369606532.0,237282182.0,2012,22-06-2012,93.0,7.1,338728
Kong: Skull Island,"Action,Adventure,Fantasy",185000000.0,561072059.0,376072059.0,168052812.0,2017,10-03-2017,118.0,6.6,237720
